dataset,val_uid,analysis_split,arm,level,requested_similarity,source_uid,similarity
aqua,aqua-validation-000012,calibration,retrieved,target_0.70,0.7,aqua-train-002662,0.7002880573272705
aqua,aqua-validation-000012,calibration,retrieved,top,,aqua-train-009245,0.8008922338485718
aqua,aqua-validation-000012,calibration,placebo,placebo,,aqua-train-038015,0.11548233032226562
aqua,aqua-validation-000013,calibration,retrieved,target_0.30,0.3,aqua-train-059022,0.3000010550022125
aqua,aqua-validation-000013,calibration,retrieved,target_0.50,0.5,aqua-train-076018,0.4999861717224121
aqua,aqua-validation-000013,calibration,retrieved,target_0.70,0.7,aqua-train-044105,0.6990038752555847
aqua,aqua-validation-000013,calibration,retrieved,top,,aqua-train-051476,0.7174497246742249
aqua,aqua-validation-000013,calibration,placebo,placebo,,aqua-train-078315,0.15436072647571564
aqua,aqua-validation-000014,test,retrieved,target_0.30,0.3,aqua-train-091943,0.30000561475753784
aqua,aqua-validation-000014,test,retrieved,target_0.50,0.5,aqua-train-017509,0.5002596378326416
aqua,aqua-validation-000014,test,retrieved,target_0.70,0.7,aqua-train-063287,0.6393302083015442
aqua,aqua-validation-000014,test,retrieved,top,,aqua-train-080581,0.9852021336555481
aqua,aqua-validation-000014,test,placebo,placebo,,aqua-train-001288,0.09683481603860855
aqua,aqua-validation-000015,calibration,retrieved,target_0.30,0.3,aqua-train-029793,0.299991250038147
aqua,aqua-validation-000015,calibration,retrieved,target_0.50,0.5,aqua-train-048211,0.5000014901161194
aqua,aqua-validation-000015,calibration,retrieved,target_0.70,0.7,aqua-train-016743,0.7135500907897949
aqua,aqua-validation-000015,calibration,retrieved,top,,aqua-train-050040,0.7301323413848877
aqua,aqua-validation-000015,calibration,placebo,placebo,,aqua-train-064640,0.11144289374351501
aqua,aqua-validation-000016,test,retrieved,target_0.30,0.3,aqua-train-024293,0.3000027537345886
aqua,aqua-validation-000016,test,retrieved,target_0.50,0.5,aqua-train-009336,0.5000101327896118
aqua,aqua-validation-000016,test,retrieved,target_0.70,0.7,aqua-train-090600,0.6937488913536072
aqua,aqua-validation-000016,test,retrieved,top,,aqua-train-030910,0.9327223300933838
aqua,aqua-validation-000016,test,placebo,placebo,,aqua-train-047696,0.24317200481891632
aqua,aqua-validation-000017,calibration,retrieved,target_0.30,0.3,aqua-train-044311,0.30000075697898865
aqua,aqua-validation-000017,calibration,retrieved,target_0.50,0.5,aqua-train-044734,0.49995240569114685
aqua,aqua-validation-000017,calibration,retrieved,target_0.70,0.7,aqua-train-061677,0.6452227234840393
aqua,aqua-validation-000017,calibration,retrieved,top,,aqua-train-066960,0.998092532157898
aqua,aqua-validation-000017,calibration,placebo,placebo,,aqua-train-087561,0.13479535281658173
aqua,aqua-validation-000018,calibration,retrieved,target_0.30,0.3,aqua-train-046382,0.2999993860721588
aqua,aqua-validation-000018,calibration,retrieved,target_0.50,0.5,aqua-train-003389,0.4999629855155945
aqua,aqua-validation-000018,calibration,retrieved,target_0.70,0.7,aqua-train-042489,0.7000116109848022
aqua,aqua-validation-000018,calibration,retrieved,top,,aqua-train-051683,0.7753649950027466
aqua,aqua-validation-000018,calibration,placebo,placebo,,aqua-train-048994,0.15119066834449768
aqua,aqua-validation-000019,test,retrieved,target_0.30,0.3,aqua-train-020507,0.29999861121177673
aqua,aqua-validation-000019,test,retrieved,target_0.50,0.5,aqua-train-056279,0.5000013709068298
aqua,aqua-validation-000019,test,retrieved,target_0.70,0.7,aqua-train-025256,0.700774610042572
aqua,aqua-validation-000019,test,retrieved,top,,aqua-train-078536,0.7303850054740906
aqua,aqua-validation-000019,test,placebo,placebo,,aqua-train-027078,0.15193066000938416
aqua,aqua-validation-000020,calibration,retrieved,target_0.30,0.3,aqua-train-029654,0.30000072717666626
aqua,aqua-validation-000020,calibration,retrieved,target_0.50,0.5,aqua-train-005152,0.5000004172325134
aqua,aqua-validation-000020,calibration,retrieved,target_0.70,0.7,aqua-train-038778,0.7000418305397034
aqua,aqua-validation-000020,calibration,retrieved,top,,aqua-train-049354,0.7815425395965576
aqua,aqua-validation-000020,calibration,placebo,placebo,,aqua-train-026295,0.26533493399620056
aqua,aqua-validation-000021,calibration,retrieved,target_0.30,0.3,aqua-train-027245,0.30000030994415283
aqua,aqua-validation-000021,calibration,retrieved,target_0.50,0.5,aqua-train-042624,0.49998268485069275
aqua,aqua-validation-000021,calibration,retrieved,target_0.70,0.7,aqua-train-018237,0.700788676738739
aqua,aqua-validation-000021,calibration,retrieved,top,,aqua-train-078167,0.7039656043052673
aqua,aqua-validation-000021,calibration,placebo,placebo,,aqua-train-049514,0.1967964619398117
aqua,aqua-validation-000022,calibration,retrieved,target_0.30,0.3,aqua-train-072188,0.2999972403049469
aqua,aqua-validation-000022,calibration,retrieved,target_0.50,0.5,aqua-train-011926,0.49998632073402405
aqua,aqua-validation-000022,calibration,retrieved,target_0.70,0.7,aqua-train-090858,0.6298325061798096
aqua,aqua-validation-000022,calibration,retrieved,top,,aqua-train-012138,0.6569429636001587
aqua,aqua-validation-000022,calibration,placebo,placebo,,aqua-train-004210,0.20880387723445892
aqua,aqua-validation-000023,test,retrieved,target_0.30,0.3,aqua-train-010268,0.2999942898750305
aqua,aqua-validation-000023,test,retrieved,target_0.50,0.5,aqua-train-012318,0.499864399433136
aqua,aqua-validation-000023,test,retrieved,target_0.70,0.7,aqua-train-017658,0.5338900685310364
aqua,aqua-validation-000023,test,retrieved,top,,aqua-train-066362,0.5742404460906982
aqua,aqua-validation-000023,test,placebo,placebo,,aqua-train-089332,0.17739984393119812
aqua,aqua-validation-000024,calibration,retrieved,target_0.30,0.3,aqua-train-077762,0.30000028014183044
aqua,aqua-validation-000024,calibration,retrieved,target_0.50,0.5,aqua-train-051297,0.5000024437904358
aqua,aqua-validation-000024,calibration,retrieved,target_0.70,0.7,aqua-train-010045,0.7041327357292175
aqua,aqua-validation-000024,calibration,retrieved,top,,aqua-train-041008,0.7264955043792725
aqua,aqua-validation-000024,calibration,placebo,placebo,,aqua-train-069165,0.14818479120731354
aqua,aqua-validation-000025,test,retrieved,target_0.30,0.3,aqua-train-013998,0.2999993860721588
aqua,aqua-validation-000025,test,retrieved,target_0.50,0.5,aqua-train-043913,0.4999489188194275
aqua,aqua-validation-000025,test,retrieved,target_0.70,0.7,aqua-train-010367,0.5753839612007141
aqua,aqua-validation-000025,test,retrieved,top,,aqua-train-052569,0.580195426940918
aqua,aqua-validation-000025,test,placebo,placebo,,aqua-train-008466,0.10169608891010284
aqua,aqua-validation-000026,test,retrieved,target_0.30,0.3,aqua-train-006116,0.2999992072582245
aqua,aqua-validation-000026,test,retrieved,target_0.50,0.5,aqua-train-071789,0.4999217391014099
aqua,aqua-validation-000026,test,retrieved,target_0.70,0.7,aqua-train-077619,0.6950864791870117
aqua,aqua-validation-000026,test,retrieved,top,,aqua-train-070276,0.7134301662445068
aqua,aqua-validation-000026,test,placebo,placebo,,aqua-train-019426,0.03347152844071388
aqua,aqua-validation-000027,calibration,retrieved,target_0.30,0.3,aqua-train-038192,0.29999834299087524
aqua,aqua-validation-000027,calibration,retrieved,target_0.50,0.5,aqua-train-083640,0.5000001192092896
aqua,aqua-validation-000027,calibration,retrieved,target_0.70,0.7,aqua-train-096464,0.7006703615188599
aqua,aqua-validation-000027,calibration,retrieved,top,,aqua-train-042309,0.8189836740493774
aqua,aqua-validation-000027,calibration,placebo,placebo,,aqua-train-069793,0.23708194494247437
aqua,aqua-validation-000028,test,retrieved,target_0.30,0.3,aqua-train-006012,0.3000009059906006
aqua,aqua-validation-000028,test,retrieved,target_0.50,0.5,aqua-train-027740,0.499991238117218
aqua,aqua-validation-000028,test,retrieved,target_0.70,0.7,aqua-train-094363,0.7005859613418579
aqua,aqua-validation-000028,test,retrieved,top,,aqua-train-038352,0.845794141292572
aqua,aqua-validation-000028,test,placebo,placebo,,aqua-train-088798,0.20379042625427246
aqua,aqua-validation-000029,calibration,retrieved,target_0.30,0.3,aqua-train-056961,0.2999977171421051
aqua,aqua-validation-000029,calibration,retrieved,target_0.50,0.5,aqua-train-033031,0.5000091791152954
aqua,aqua-validation-000029,calibration,retrieved,target_0.70,0.7,aqua-train-001663,0.7001135349273682
aqua,aqua-validation-000029,calibration,retrieved,top,,aqua-train-006896,0.7313144207000732
aqua,aqua-validation-000029,calibration,placebo,placebo,,aqua-train-057298,0.14998599886894226
aqua,aqua-validation-000030,calibration,retrieved,target_0.30,0.3,aqua-train-041739,0.3000034987926483
aqua,aqua-validation-000030,calibration,retrieved,target_0.50,0.5,aqua-train-067911,0.5000232458114624
aqua,aqua-validation-000030,calibration,retrieved,target_0.70,0.7,aqua-train-033759,0.6999560594558716
aqua,aqua-validation-000030,calibration,retrieved,top,,aqua-train-085538,0.8004581928253174
aqua,aqua-validation-000030,calibration,placebo,placebo,,aqua-train-012202,0.12444251030683517
aqua,aqua-validation-000031,test,retrieved,target_0.30,0.3,aqua-train-040040,0.2999931573867798
aqua,aqua-validation-000031,test,retrieved,target_0.50,0.5,aqua-train-044368,0.4998666048049927
aqua,aqua-validation-000031,test,retrieved,target_0.70,0.7,aqua-train-058651,0.6350966095924377
aqua,aqua-validation-000031,test,retrieved,top,,aqua-train-084100,0.6396245956420898
aqua,aqua-validation-000031,test,placebo,placebo,,aqua-train-034119,0.125459223985672
aqua,aqua-validation-000032,calibration,retrieved,target_0.30,0.3,aqua-train-021852,0.3000023663043976
aqua,aqua-validation-000032,calibration,retrieved,target_0.50,0.5,aqua-train-032443,0.500043511390686
aqua,aqua-validation-000032,calibration,retrieved,target_0.70,0.7,aqua-train-064519,0.7027679681777954
aqua,aqua-validation-000032,calibration,retrieved,top,,aqua-train-010269,0.961127519607544
aqua,aqua-validation-000032,calibration,placebo,placebo,,aqua-train-068846,0.08891884982585907
aqua,aqua-validation-000033,calibration,retrieved,target_0.30,0.3,aqua-train-064581,0.299998939037323
aqua,aqua-validation-000033,calibration,retrieved,target_0.50,0.5,aqua-train-086929,0.48676231503486633
aqua,aqua-validation-000033,calibration,retrieved,target_0.70,0.7,aqua-train-042747,0.5502758026123047
aqua,aqua-validation-000033,calibration,retrieved,top,,aqua-train-057485,0.5554938316345215
aqua,aqua-validation-000033,calibration,placebo,placebo,,aqua-train-013597,0.07839757204055786
aqua,aqua-validation-000034,test,retrieved,target_0.30,0.3,aqua-train-096509,0.29999953508377075
aqua,aqua-validation-000034,test,retrieved,target_0.50,0.5,aqua-train-036853,0.49990561604499817
aqua,aqua-validation-000034,test,retrieved,target_0.70,0.7,aqua-train-059359,0.6472746729850769
aqua,aqua-validation-000034,test,retrieved,top,,aqua-train-025928,0.6599012017250061
aqua,aqua-validation-000034,test,placebo,placebo,,aqua-train-078404,0.1256677210330963
aqua,aqua-validation-000035,test,retrieved,target_0.30,0.3,aqua-train-067235,0.3000008463859558
aqua,aqua-validation-000035,test,retrieved,target_0.50,0.5,aqua-train-009596,0.5000460743904114
aqua,aqua-validation-000035,test,retrieved,target_0.70,0.7,aqua-train-023415,0.6999951601028442
aqua,aqua-validation-000035,test,retrieved,top,,aqua-train-055754,0.893608570098877
aqua,aqua-validation-000035,test,placebo,placebo,,aqua-train-014108,0.07628503441810608
aqua,aqua-validation-000036,calibration,retrieved,target_0.30,0.3,aqua-train-063163,0.2999984323978424
aqua,aqua-validation-000036,calibration,retrieved,target_0.50,0.5,aqua-train-088062,0.49998828768730164
aqua,aqua-validation-000036,calibration,retrieved,target_0.70,0.7,aqua-train-091418,0.6343194246292114
aqua,aqua-validation-000036,calibration,retrieved,top,,aqua-train-074690,0.7787891626358032
aqua,aqua-validation-000036,calibration,placebo,placebo,,aqua-train-081321,0.16598911583423615
aqua,aqua-validation-000037,test,retrieved,target_0.30,0.3,aqua-train-017965,0.29999837279319763
aqua,aqua-validation-000037,test,retrieved,target_0.50,0.5,aqua-train-093448,0.500002920627594
aqua,aqua-validation-000037,test,retrieved,target_0.70,0.7,aqua-train-001346,0.7001460790634155
aqua,aqua-validation-000037,test,retrieved,top,,aqua-train-079014,0.8023541569709778
aqua,aqua-validation-000037,test,placebo,placebo,,aqua-train-085779,0.20605063438415527
aqua,aqua-validation-000038,calibration,retrieved,target_0.30,0.3,aqua-train-061053,0.2999992072582245
aqua,aqua-validation-000038,calibration,retrieved,target_0.50,0.5,aqua-train-082158,0.49999573826789856
aqua,aqua-validation-000038,calibration,retrieved,target_0.70,0.7,aqua-train-066059,0.689010500907898
aqua,aqua-validation-000038,calibration,retrieved,top,,aqua-train-011839,0.690899670124054
aqua,aqua-validation-000038,calibration,placebo,placebo,,aqua-train-043460,0.11524851620197296
aqua,aqua-validation-000039,calibration,retrieved,target_0.30,0.3,aqua-train-073969,0.2999996840953827
aqua,aqua-validation-000039,calibration,retrieved,target_0.50,0.5,aqua-train-020140,0.5000189542770386
aqua,aqua-validation-000039,calibration,retrieved,target_0.70,0.7,aqua-train-067609,0.7001062035560608
aqua,aqua-validation-000039,calibration,retrieved,top,,aqua-train-023108,0.929310142993927
aqua,aqua-validation-000039,calibration,placebo,placebo,,aqua-train-018151,0.04508614540100098
aqua,aqua-validation-000040,calibration,retrieved,target_0.30,0.3,aqua-train-076211,0.3000025451183319
aqua,aqua-validation-000040,calibration,retrieved,target_0.50,0.5,aqua-train-010085,0.49999991059303284
aqua,aqua-validation-000040,calibration,retrieved,target_0.70,0.7,aqua-train-030376,0.7000042200088501
aqua,aqua-validation-000040,calibration,retrieved,top,,aqua-train-046805,0.7733877897262573
aqua,aqua-validation-000040,calibration,placebo,placebo,,aqua-train-069061,0.09767770022153854
aqua,aqua-validation-000041,test,retrieved,target_0.30,0.3,aqua-train-071527,0.29999804496765137
aqua,aqua-validation-000041,test,retrieved,target_0.50,0.5,aqua-train-065940,0.4999942481517792
aqua,aqua-validation-000041,test,retrieved,target_0.70,0.7,aqua-train-065820,0.700424313545227
aqua,aqua-validation-000041,test,retrieved,top,,aqua-train-047769,0.8197606801986694
aqua,aqua-validation-000041,test,placebo,placebo,,aqua-train-005279,0.07944149523973465
aqua,aqua-validation-000042,test,retrieved,target_0.30,0.3,aqua-train-031336,0.30000391602516174
aqua,aqua-validation-000042,test,retrieved,target_0.50,0.5,aqua-train-086447,0.49998939037323
aqua,aqua-validation-000042,test,retrieved,target_0.70,0.7,aqua-train-081698,0.6999866962432861
aqua,aqua-validation-000042,test,retrieved,top,,aqua-train-077784,0.9828712344169617
aqua,aqua-validation-000042,test,placebo,placebo,,aqua-train-001575,0.09678907692432404
aqua,aqua-validation-000043,test,retrieved,target_0.30,0.3,aqua-train-088767,0.3000003397464752
aqua,aqua-validation-000043,test,retrieved,target_0.50,0.5,aqua-train-003564,0.500011682510376
aqua,aqua-validation-000043,test,retrieved,target_0.70,0.7,aqua-train-003831,0.699383556842804
aqua,aqua-validation-000043,test,retrieved,top,,aqua-train-058810,0.7563279867172241
aqua,aqua-validation-000043,test,placebo,placebo,,aqua-train-085562,0.1946617066860199
aqua,aqua-validation-000044,test,retrieved,target_0.30,0.3,aqua-train-052953,0.2999975085258484
aqua,aqua-validation-000044,test,retrieved,target_0.50,0.5,aqua-train-041329,0.4999831020832062
aqua,aqua-validation-000044,test,retrieved,target_0.70,0.7,aqua-train-053969,0.7111481428146362
aqua,aqua-validation-000044,test,retrieved,top,,aqua-train-091131,0.9859223961830139
aqua,aqua-validation-000044,test,placebo,placebo,,aqua-train-002832,0.1599319577217102
aqua,aqua-validation-000045,test,retrieved,target_0.30,0.3,aqua-train-086636,0.2999967634677887
aqua,aqua-validation-000045,test,retrieved,target_0.50,0.5,aqua-train-040384,0.49999311566352844
aqua,aqua-validation-000045,test,retrieved,target_0.70,0.7,aqua-train-079413,0.7007248997688293
aqua,aqua-validation-000045,test,retrieved,top,,aqua-train-077587,0.7178041338920593
aqua,aqua-validation-000045,test,placebo,placebo,,aqua-train-065875,0.2497013807296753
aqua,aqua-validation-000046,test,retrieved,target_0.30,0.3,aqua-train-080682,0.3000001609325409
aqua,aqua-validation-000046,test,retrieved,target_0.50,0.5,aqua-train-056156,0.5000078678131104
aqua,aqua-validation-000046,test,retrieved,target_0.70,0.7,aqua-train-055929,0.7002245187759399
aqua,aqua-validation-000046,test,retrieved,top,,aqua-train-033973,0.9054951667785645
aqua,aqua-validation-000046,test,placebo,placebo,,aqua-train-065497,0.08379224687814713
aqua,aqua-validation-000047,calibration,retrieved,target_0.30,0.3,aqua-train-022481,0.2999964654445648
aqua,aqua-validation-000047,calibration,retrieved,target_0.50,0.5,aqua-train-074558,0.49999287724494934
aqua,aqua-validation-000047,calibration,retrieved,target_0.70,0.7,aqua-train-011262,0.6998218297958374
aqua,aqua-validation-000047,calibration,retrieved,top,,aqua-train-026793,0.9021053314208984
aqua,aqua-validation-000047,calibration,placebo,placebo,,aqua-train-076756,0.17533299326896667
aqua,aqua-validation-000048,test,retrieved,target_0.30,0.3,aqua-train-034417,0.2999991476535797
aqua,aqua-validation-000048,test,retrieved,target_0.50,0.5,aqua-train-035470,0.5000559687614441
aqua,aqua-validation-000048,test,retrieved,target_0.70,0.7,aqua-train-051993,0.6999045610427856
aqua,aqua-validation-000048,test,retrieved,top,,aqua-train-009044,0.7349258065223694
aqua,aqua-validation-000048,test,placebo,placebo,,aqua-train-089155,0.1662956327199936
aqua,aqua-validation-000049,calibration,retrieved,target_0.30,0.3,aqua-train-003287,0.2999996244907379
aqua,aqua-validation-000049,calibration,retrieved,target_0.50,0.5,aqua-train-053344,0.49999770522117615
aqua,aqua-validation-000049,calibration,retrieved,target_0.70,0.7,aqua-train-065586,0.6917577385902405
aqua,aqua-validation-000049,calibration,retrieved,top,,aqua-train-079027,0.7035462260246277
aqua,aqua-validation-000049,calibration,placebo,placebo,,aqua-train-032266,0.22901979088783264
aqua,aqua-validation-000050,test,retrieved,target_0.30,0.3,aqua-train-051558,0.29999861121177673
aqua,aqua-validation-000050,test,retrieved,target_0.50,0.5,aqua-train-036620,0.5000143647193909
aqua,aqua-validation-000050,test,retrieved,target_0.70,0.7,aqua-train-006303,0.6995595693588257
aqua,aqua-validation-000050,test,retrieved,top,,aqua-train-078827,0.6998913288116455
aqua,aqua-validation-000050,test,placebo,placebo,,aqua-train-011116,0.11820755153894424
aqua,aqua-validation-000051,test,retrieved,target_0.30,0.3,aqua-train-041868,0.2999977767467499
aqua,aqua-validation-000051,test,retrieved,target_0.50,0.5,aqua-train-034051,0.5000215172767639
aqua,aqua-validation-000051,test,retrieved,target_0.70,0.7,aqua-train-094682,0.678738534450531
aqua,aqua-validation-000051,test,retrieved,top,,aqua-train-003767,0.6880243420600891
aqua,aqua-validation-000051,test,placebo,placebo,,aqua-train-003339,0.11497314274311066
aqua,aqua-validation-000052,calibration,retrieved,target_0.30,0.3,aqua-train-061349,0.3000006675720215
aqua,aqua-validation-000052,calibration,retrieved,target_0.50,0.5,aqua-train-036672,0.4999709725379944
aqua,aqua-validation-000052,calibration,retrieved,target_0.70,0.7,aqua-train-007682,0.5910750031471252
aqua,aqua-validation-000052,calibration,retrieved,top,,aqua-train-047602,0.5981260538101196
aqua,aqua-validation-000052,calibration,placebo,placebo,,aqua-train-033255,0.1543075144290924
aqua,aqua-validation-000053,calibration,retrieved,target_0.30,0.3,aqua-train-025535,0.300001323223114
aqua,aqua-validation-000053,calibration,retrieved,target_0.50,0.5,aqua-train-046317,0.5000050663948059
aqua,aqua-validation-000053,calibration,retrieved,target_0.70,0.7,aqua-train-083177,0.7002444267272949
aqua,aqua-validation-000053,calibration,retrieved,top,,aqua-train-032483,0.7359943389892578
aqua,aqua-validation-000053,calibration,placebo,placebo,,aqua-train-017786,0.15948402881622314
aqua,aqua-validation-000054,calibration,retrieved,target_0.30,0.3,aqua-train-076359,0.2999974191188812
aqua,aqua-validation-000054,calibration,retrieved,target_0.50,0.5,aqua-train-073134,0.49998021125793457
aqua,aqua-validation-000054,calibration,retrieved,target_0.70,0.7,aqua-train-033084,0.636447548866272
aqua,aqua-validation-000054,calibration,retrieved,top,,aqua-train-037742,0.648763120174408
aqua,aqua-validation-000054,calibration,placebo,placebo,,aqua-train-066986,0.16934669017791748
aqua,aqua-validation-000055,calibration,retrieved,target_0.30,0.3,aqua-train-049034,0.2999977767467499
aqua,aqua-validation-000055,calibration,retrieved,target_0.50,0.5,aqua-train-027987,0.49999937415122986
aqua,aqua-validation-000055,calibration,retrieved,target_0.70,0.7,aqua-train-016888,0.7001548409461975
aqua,aqua-validation-000055,calibration,retrieved,top,,aqua-train-005506,0.9562960863113403
aqua,aqua-validation-000055,calibration,placebo,placebo,,aqua-train-032536,0.10818564891815186
aqua,aqua-validation-000056,test,retrieved,target_0.30,0.3,aqua-train-047813,0.3000003695487976
aqua,aqua-validation-000056,test,retrieved,target_0.50,0.5,aqua-train-024144,0.5000268220901489
aqua,aqua-validation-000056,test,retrieved,target_0.70,0.7,aqua-train-015339,0.700116753578186
aqua,aqua-validation-000056,test,retrieved,top,,aqua-train-065421,0.8228309154510498
aqua,aqua-validation-000056,test,placebo,placebo,,aqua-train-094883,0.1809558868408203
aqua,aqua-validation-000057,test,retrieved,target_0.30,0.3,aqua-train-072766,0.29999879002571106
aqua,aqua-validation-000057,test,retrieved,target_0.50,0.5,aqua-train-091058,0.5000530481338501
aqua,aqua-validation-000057,test,retrieved,target_0.70,0.7,aqua-train-030569,0.6573075652122498
aqua,aqua-validation-000057,test,retrieved,top,,aqua-train-081078,0.6602188944816589
aqua,aqua-validation-000057,test,placebo,placebo,,aqua-train-022121,0.12987196445465088
aqua,aqua-validation-000058,calibration,retrieved,target_0.30,0.3,aqua-train-087714,0.3000011146068573
aqua,aqua-validation-000058,calibration,retrieved,target_0.50,0.5,aqua-train-052493,0.5000028014183044
aqua,aqua-validation-000058,calibration,retrieved,target_0.70,0.7,aqua-train-089153,0.7270699143409729
