model,dataset,depth,arm,level,transition,n
mistral-7b,logiqa2,complex,retrieved,target_0.30,helped,93
mistral-7b,logiqa2,complex,retrieved,target_0.30,unchanged,1314
mistral-7b,logiqa2,complex,retrieved,target_0.50,harmed,180
mistral-7b,logiqa2,complex,retrieved,target_0.50,helped,107
mistral-7b,logiqa2,complex,retrieved,target_0.50,unchanged,1264
mistral-7b,logiqa2,complex,retrieved,target_0.70,harmed,180
mistral-7b,logiqa2,complex,retrieved,target_0.70,helped,130
mistral-7b,logiqa2,complex,retrieved,target_0.70,unchanged,1241
mistral-7b,logiqa2,complex,retrieved,top,harmed,173
mistral-7b,logiqa2,complex,retrieved,top,helped,135
mistral-7b,logiqa2,complex,retrieved,top,unchanged,1243
mistral-7b,logiqa2,simple,placebo,placebo,harmed,144
mistral-7b,logiqa2,simple,placebo,placebo,helped,87
mistral-7b,logiqa2,simple,placebo,placebo,unchanged,1320
mistral-7b,logiqa2,simple,retrieved,target_0.30,harmed,150
mistral-7b,logiqa2,simple,retrieved,target_0.30,helped,99
mistral-7b,logiqa2,simple,retrieved,target_0.30,unchanged,1302
mistral-7b,logiqa2,simple,retrieved,target_0.50,harmed,169
mistral-7b,logiqa2,simple,retrieved,target_0.50,helped,95
mistral-7b,logiqa2,simple,retrieved,target_0.50,unchanged,1287
mistral-7b,logiqa2,simple,retrieved,target_0.70,harmed,181
mistral-7b,logiqa2,simple,retrieved,target_0.70,helped,118
mistral-7b,logiqa2,simple,retrieved,target_0.70,unchanged,1252
mistral-7b,logiqa2,simple,retrieved,top,harmed,184
mistral-7b,logiqa2,simple,retrieved,top,helped,126
mistral-7b,logiqa2,simple,retrieved,top,unchanged,1241
mistral-7b,openbookqa,complex,placebo,placebo,harmed,89
mistral-7b,openbookqa,complex,placebo,placebo,helped,23
mistral-7b,openbookqa,complex,placebo,placebo,unchanged,387
mistral-7b,openbookqa,complex,retrieved,target_0.30,harmed,85
mistral-7b,openbookqa,complex,retrieved,target_0.30,helped,26
mistral-7b,openbookqa,complex,retrieved,target_0.30,unchanged,388
mistral-7b,openbookqa,complex,retrieved,target_0.50,harmed,81
mistral-7b,openbookqa,complex,retrieved,target_0.50,helped,33
mistral-7b,openbookqa,complex,retrieved,target_0.50,unchanged,385
mistral-7b,openbookqa,complex,retrieved,target_0.70,harmed,68
mistral-7b,openbookqa,complex,retrieved,target_0.70,helped,45
mistral-7b,openbookqa,complex,retrieved,target_0.70,unchanged,385
mistral-7b,openbookqa,complex,retrieved,top,harmed,70
mistral-7b,openbookqa,complex,retrieved,top,helped,42
mistral-7b,openbookqa,complex,retrieved,top,unchanged,385
mistral-7b,openbookqa,simple,placebo,placebo,harmed,76
mistral-7b,openbookqa,simple,placebo,placebo,helped,25
mistral-7b,openbookqa,simple,placebo,placebo,unchanged,398
mistral-7b,openbookqa,simple,retrieved,target_0.30,harmed,72
mistral-7b,openbookqa,simple,retrieved,target_0.30,helped,29
mistral-7b,openbookqa,simple,retrieved,target_0.30,unchanged,398
mistral-7b,openbookqa,simple,retrieved,target_0.50,harmed,77
mistral-7b,openbookqa,simple,retrieved,target_0.50,helped,38
mistral-7b,openbookqa,simple,retrieved,target_0.50,unchanged,384
mistral-7b,openbookqa,simple,retrieved,target_0.70,harmed,69
mistral-7b,openbookqa,simple,retrieved,target_0.70,helped,39
mistral-7b,openbookqa,simple,retrieved,target_0.70,unchanged,391
mistral-7b,openbookqa,simple,retrieved,top,harmed,69
mistral-7b,openbookqa,simple,retrieved,top,helped,40
mistral-7b,openbookqa,simple,retrieved,top,unchanged,390
phi4-mini,aqua,complex,placebo,placebo,harmed,31
phi4-mini,aqua,complex,placebo,placebo,helped,23
phi4-mini,aqua,complex,placebo,placebo,unchanged,195
phi4-mini,aqua,complex,retrieved,target_0.30,harmed,35
phi4-mini,aqua,complex,retrieved,target_0.30,helped,18
phi4-mini,aqua,complex,retrieved,target_0.30,unchanged,197
phi4-mini,aqua,complex,retrieved,target_0.50,harmed,33
phi4-mini,aqua,complex,retrieved,target_0.50,helped,17
phi4-mini,aqua,complex,retrieved,target_0.50,unchanged,200
phi4-mini,aqua,complex,retrieved,target_0.70,harmed,30
phi4-mini,aqua,complex,retrieved,target_0.70,helped,18
phi4-mini,aqua,complex,retrieved,target_0.70,unchanged,198
phi4-mini,aqua,complex,retrieved,top,harmed,31
phi4-mini,aqua,complex,retrieved,top,helped,20
phi4-mini,aqua,complex,retrieved,top,unchanged,192
phi4-mini,aqua,simple,placebo,placebo,harmed,31
phi4-mini,aqua,simple,placebo,placebo,helped,16
phi4-mini,aqua,simple,placebo,placebo,unchanged,201
phi4-mini,aqua,simple,retrieved,target_0.30,harmed,32
phi4-mini,aqua,simple,retrieved,target_0.30,helped,21
phi4-mini,aqua,simple,retrieved,target_0.30,unchanged,191
phi4-mini,aqua,simple,retrieved,target_0.50,harmed,28
phi4-mini,aqua,simple,retrieved,target_0.50,helped,12
phi4-mini,aqua,simple,retrieved,target_0.50,unchanged,207
phi4-mini,aqua,simple,retrieved,target_0.70,harmed,31
phi4-mini,aqua,simple,retrieved,target_0.70,helped,23
phi4-mini,aqua,simple,retrieved,target_0.70,unchanged,195
phi4-mini,aqua,simple,retrieved,top,harmed,29
phi4-mini,aqua,simple,retrieved,top,helped,16
phi4-mini,aqua,simple,retrieved,top,unchanged,197
phi4-mini,arc,complex,placebo,placebo,harmed,13
phi4-mini,arc,complex,placebo,placebo,helped,21
phi4-mini,arc,complex,placebo,placebo,unchanged,236
phi4-mini,arc,complex,retrieved,target_0.30,harmed,27
phi4-mini,arc,complex,retrieved,target_0.30,helped,19
phi4-mini,arc,complex,retrieved,target_0.30,unchanged,224
phi4-mini,arc,complex,retrieved,target_0.50,harmed,28
phi4-mini,arc,complex,retrieved,target_0.50,helped,24
phi4-mini,arc,complex,retrieved,target_0.50,unchanged,222
phi4-mini,arc,complex,retrieved,target_0.70,harmed,25
phi4-mini,arc,complex,retrieved,target_0.70,helped,16
phi4-mini,arc,complex,retrieved,target_0.70,unchanged,229
phi4-mini,arc,complex,retrieved,top,harmed,14
phi4-mini,arc,complex,retrieved,top,helped,22
phi4-mini,arc,complex,retrieved,top,unchanged,231
phi4-mini,arc,simple,placebo,placebo,harmed,25
phi4-mini,arc,simple,placebo,placebo,helped,23
phi4-mini,arc,simple,placebo,placebo,unchanged,222
phi4-mini,arc,simple,retrieved,target_0.30,harmed,22
phi4-mini,arc,simple,retrieved,target_0.30,helped,24
phi4-mini,arc,simple,retrieved,target_0.30,unchanged,224
phi4-mini,arc,simple,retrieved,target_0.50,harmed,27
phi4-mini,arc,simple,retrieved,target_0.50,helped,24
phi4-mini,arc,simple,retrieved,target_0.50,unchanged,223
phi4-mini,arc,simple,retrieved,target_0.70,harmed,28
phi4-mini,arc,simple,retrieved,target_0.70,helped,22
phi4-mini,arc,simple,retrieved,target_0.70,unchanged,220
phi4-mini,arc,simple,retrieved,top,harmed,19
phi4-mini,arc,simple,retrieved,top,helped,23
phi4-mini,arc,simple,retrieved,top,unchanged,225
phi4-mini,gsm8k,complex,placebo,placebo,harmed,76
phi4-mini,gsm8k,complex,placebo,placebo,helped,46
phi4-mini,gsm8k,complex,placebo,placebo,unchanged,878
phi4-mini,gsm8k,complex,retrieved,target_0.30,harmed,87
phi4-mini,gsm8k,complex,retrieved,target_0.30,helped,41
phi4-mini,gsm8k,complex,retrieved,target_0.30,unchanged,872
phi4-mini,gsm8k,complex,retrieved,target_0.50,harmed,78
phi4-mini,gsm8k,complex,retrieved,target_0.50,helped,48
phi4-mini,gsm8k,complex,retrieved,target_0.50,unchanged,873
phi4-mini,gsm8k,complex,retrieved,target_0.70,harmed,78
phi4-mini,gsm8k,complex,retrieved,target_0.70,helped,42
phi4-mini,gsm8k,complex,retrieved,target_0.70,unchanged,880
phi4-mini,gsm8k,complex,retrieved,top,harmed,92
phi4-mini,gsm8k,complex,retrieved,top,helped,47
phi4-mini,gsm8k,complex,retrieved,top,unchanged,861
phi4-mini,gsm8k,simple,placebo,placebo,harmed,75
phi4-mini,gsm8k,simple,placebo,placebo,helped,50
phi4-mini,gsm8k,simple,placebo,placebo,unchanged,875
phi4-mini,gsm8k,simple,retrieved,target_0.30,harmed,69
phi4-mini,gsm8k,simple,retrieved,target_0.30,helped,47
phi4-mini,gsm8k,simple,retrieved,target_0.30,unchanged,884
phi4-mini,gsm8k,simple,retrieved,target_0.50,harmed,83
phi4-mini,gsm8k,simple,retrieved,target_0.50,helped,56
phi4-mini,gsm8k,simple,retrieved,target_0.50,unchanged,860
phi4-mini,gsm8k,simple,retrieved,target_0.70,harmed,79
phi4-mini,gsm8k,simple,retrieved,target_0.70,helped,37
phi4-mini,gsm8k,simple,retrieved,target_0.70,unchanged,884
phi4-mini,gsm8k,simple,retrieved,top,harmed,80
phi4-mini,gsm8k,simple,retrieved,top,helped,40
phi4-mini,gsm8k,simple,retrieved,top,unchanged,879
phi4-mini,logiqa2,complex,placebo,placebo,harmed,131
phi4-mini,logiqa2,complex,placebo,placebo,helped,134
phi4-mini,logiqa2,complex,placebo,placebo,unchanged,959
phi4-mini,logiqa2,complex,retrieved,target_0.30,harmed,149
phi4-mini,logiqa2,complex,retrieved,target_0.30,helped,130
phi4-mini,logiqa2,complex,retrieved,target_0.30,unchanged,949
phi4-mini,logiqa2,complex,retrieved,target_0.50,harmed,134
phi4-mini,logiqa2,complex,retrieved,target_0.50,helped,141
phi4-mini,logiqa2,complex,retrieved,target_0.50,unchanged,933
phi4-mini,logiqa2,complex,retrieved,target_0.70,harmed,156
phi4-mini,logiqa2,complex,retrieved,target_0.70,helped,155
phi4-mini,logiqa2,complex,retrieved,target_0.70,unchanged,919
phi4-mini,logiqa2,complex,retrieved,top,harmed,138
phi4-mini,logiqa2,complex,retrieved,top,helped,156
phi4-mini,logiqa2,complex,retrieved,top,unchanged,914
phi4-mini,logiqa2,simple,placebo,placebo,harmed,133
phi4-mini,logiqa2,simple,placebo,placebo,helped,177
phi4-mini,logiqa2,simple,placebo,placebo,unchanged,944
phi4-mini,logiqa2,simple,retrieved,target_0.30,harmed,138
phi4-mini,logiqa2,simple,retrieved,target_0.30,helped,176
phi4-mini,logiqa2,simple,retrieved,target_0.30,unchanged,937
phi4-mini,logiqa2,simple,retrieved,target_0.50,harmed,136
phi4-mini,logiqa2,simple,retrieved,target_0.50,helped,162
phi4-mini,logiqa2,simple,retrieved,target_0.50,unchanged,935
phi4-mini,logiqa2,simple,retrieved,target_0.70,harmed,154
phi4-mini,logiqa2,simple,retrieved,target_0.70,helped,166
phi4-mini,logiqa2,simple,retrieved,target_0.70,unchanged,934
phi4-mini,logiqa2,simple,retrieved,top,harmed,128
phi4-mini,logiqa2,simple,retrieved,top,helped,166
phi4-mini,logiqa2,simple,retrieved,top,unchanged,954
phi4-mini,openbookqa,complex,placebo,placebo,harmed,51
phi4-mini,openbookqa,complex,placebo,placebo,helped,43
phi4-mini,openbookqa,complex,placebo,placebo,unchanged,359
phi4-mini,openbookqa,complex,retrieved,target_0.30,harmed,60
phi4-mini,openbookqa,complex,retrieved,target_0.30,helped,42
phi4-mini,openbookqa,complex,retrieved,target_0.30,unchanged,357
phi4-mini,openbookqa,complex,retrieved,target_0.50,harmed,59
phi4-mini,openbookqa,complex,retrieved,target_0.50,helped,41
phi4-mini,openbookqa,complex,retrieved,target_0.50,unchanged,369
phi4-mini,openbookqa,complex,retrieved,target_0.70,harmed,60
phi4-mini,openbookqa,complex,retrieved,target_0.70,helped,54
phi4-mini,openbookqa,complex,retrieved,target_0.70,unchanged,350
phi4-mini,openbookqa,complex,retrieved,top,harmed,59
phi4-mini,openbookqa,complex,retrieved,top,helped,45
phi4-mini,openbookqa,complex,retrieved,top,unchanged,359
phi4-mini,openbookqa,simple,placebo,placebo,harmed,55
phi4-mini,openbookqa,simple,placebo,placebo,helped,31
phi4-mini,openbookqa,simple,placebo,placebo,unchanged,367
phi4-mini,openbookqa,simple,retrieved,target_0.30,harmed,64
phi4-mini,openbookqa,simple,retrieved,target_0.30,helped,37
phi4-mini,openbookqa,simple,retrieved,target_0.30,unchanged,358
phi4-mini,openbookqa,simple,retrieved,target_0.50,harmed,60
phi4-mini,openbookqa,simple,retrieved,target_0.50,helped,41
phi4-mini,openbookqa,simple,retrieved,target_0.50,unchanged,368
phi4-mini,openbookqa,simple,retrieved,target_0.70,harmed,72
phi4-mini,openbookqa,simple,retrieved,target_0.70,helped,47
phi4-mini,openbookqa,simple,retrieved,target_0.70,unchanged,344
phi4-mini,openbookqa,simple,retrieved,top,harmed,52
phi4-mini,openbookqa,simple,retrieved,top,helped,50
phi4-mini,openbookqa,simple,retrieved,top,unchanged,361
