model,dataset,val_uid,source_uid,analysis_split,depth,arm,level,requested_similarity,similarity,source_correct,baseline_correct,memory_correct,delta,baseline_eval_method,memory_eval_method,source_eval_method
phi4-mini,aqua,aqua-validation-000008,aqua-train-091633,calibration,simple,retrieved,target_0.30,0.3,0.3000052273273468,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000008,aqua-train-046361,calibration,simple,retrieved,target_0.50,0.5,0.500042736530304,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000008,aqua-train-005516,calibration,simple,retrieved,target_0.70,0.7,0.7013997435569763,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000008,aqua-train-016594,calibration,simple,retrieved,top,,0.7502414584159851,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000008,aqua-train-019850,calibration,simple,placebo,placebo,,0.13275787234306335,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000009,aqua-train-087107,calibration,simple,retrieved,target_0.30,0.3,0.30000099539756775,True,False,True,1.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000009,aqua-train-092385,calibration,simple,retrieved,target_0.50,0.5,0.49998027086257935,True,False,False,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000009,aqua-train-030957,calibration,simple,retrieved,target_0.70,0.7,0.7012244462966919,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000009,aqua-train-043442,calibration,simple,retrieved,top,,0.7839357256889343,True,False,False,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000009,aqua-train-024120,calibration,simple,placebo,placebo,,0.06396225839853287,True,False,False,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000010,aqua-train-033080,calibration,simple,retrieved,target_0.30,0.3,0.3000012934207916,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000010,aqua-train-083365,calibration,simple,retrieved,target_0.50,0.5,0.5000013113021851,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000010,aqua-train-004420,calibration,simple,retrieved,target_0.70,0.7,0.7004449367523193,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000010,aqua-train-070859,calibration,simple,retrieved,top,,0.7324208617210388,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000010,aqua-train-003281,calibration,simple,placebo,placebo,,0.1558643877506256,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000011,aqua-train-056481,calibration,simple,retrieved,target_0.30,0.3,0.30000030994415283,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000011,aqua-train-083582,calibration,simple,retrieved,target_0.50,0.5,0.4998002052307129,False,True,False,-1.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000011,aqua-train-027482,calibration,simple,retrieved,target_0.70,0.7,0.6296079754829407,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000011,aqua-train-029716,calibration,simple,retrieved,top,,0.6381428241729736,False,True,False,-1.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000011,aqua-train-008695,calibration,simple,placebo,placebo,,0.1287737637758255,False,True,False,-1.0,parser,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000012,aqua-train-078341,calibration,simple,retrieved,target_0.30,0.3,0.29999813437461853,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000012,aqua-train-058229,calibration,simple,retrieved,target_0.50,0.5,0.5000028610229492,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000012,aqua-train-002662,calibration,simple,retrieved,target_0.70,0.7,0.7002880573272705,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000012,aqua-train-009245,calibration,simple,retrieved,top,,0.8008922338485718,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000012,aqua-train-038015,calibration,simple,placebo,placebo,,0.11548233032226562,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000013,aqua-train-059022,calibration,simple,retrieved,target_0.30,0.3,0.3000010550022125,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000013,aqua-train-076018,calibration,simple,retrieved,target_0.50,0.5,0.4999861717224121,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000013,aqua-train-044105,calibration,simple,retrieved,target_0.70,0.7,0.6990038752555847,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000013,aqua-train-051476,calibration,simple,retrieved,top,,0.7174497246742249,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000013,aqua-train-078315,calibration,simple,placebo,placebo,,0.15436072647571564,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000014,aqua-train-091943,test,simple,retrieved,target_0.30,0.3,0.30000561475753784,True,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000014,aqua-train-017509,test,simple,retrieved,target_0.50,0.5,0.5002596378326416,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000014,aqua-train-063287,test,simple,retrieved,target_0.70,0.7,0.6393302083015442,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000014,aqua-train-080581,test,simple,retrieved,top,,0.9852021336555481,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000014,aqua-train-001288,test,simple,placebo,placebo,,0.09683481603860855,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000015,aqua-train-029793,calibration,simple,retrieved,target_0.30,0.3,0.299991250038147,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000015,aqua-train-048211,calibration,simple,retrieved,target_0.50,0.5,0.5000014901161194,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000015,aqua-train-016743,calibration,simple,retrieved,target_0.70,0.7,0.7135500907897949,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000015,aqua-train-050040,calibration,simple,retrieved,top,,0.7301323413848877,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000015,aqua-train-064640,calibration,simple,placebo,placebo,,0.11144289374351501,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000016,aqua-train-024293,test,simple,retrieved,target_0.30,0.3,0.3000027537345886,True,False,True,1.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000016,aqua-train-009336,test,simple,retrieved,target_0.50,0.5,0.5000101327896118,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000016,aqua-train-090600,test,simple,retrieved,target_0.70,0.7,0.6937488913536072,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000016,aqua-train-030910,test,simple,retrieved,top,,0.9327223300933838,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000016,aqua-train-047696,test,simple,placebo,placebo,,0.24317200481891632,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000017,aqua-train-044311,calibration,simple,retrieved,target_0.30,0.3,0.30000075697898865,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000017,aqua-train-044734,calibration,simple,retrieved,target_0.50,0.5,0.49995240569114685,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000017,aqua-train-061677,calibration,simple,retrieved,target_0.70,0.7,0.6452227234840393,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000017,aqua-train-066960,calibration,simple,retrieved,top,,0.998092532157898,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000017,aqua-train-087561,calibration,simple,placebo,placebo,,0.13479535281658173,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000018,aqua-train-046382,calibration,simple,retrieved,target_0.30,0.3,0.2999993860721588,False,False,True,1.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000018,aqua-train-003389,calibration,simple,retrieved,target_0.50,0.5,0.4999629855155945,True,False,True,1.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000018,aqua-train-042489,calibration,simple,retrieved,target_0.70,0.7,0.7000116109848022,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000018,aqua-train-051683,calibration,simple,retrieved,top,,0.7753649950027466,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000018,aqua-train-048994,calibration,simple,placebo,placebo,,0.15119066834449768,False,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000019,aqua-train-020507,test,simple,retrieved,target_0.30,0.3,0.29999861121177673,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000019,aqua-train-056279,test,simple,retrieved,target_0.50,0.5,0.5000013709068298,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000019,aqua-train-025256,test,simple,retrieved,target_0.70,0.7,0.700774610042572,False,True,False,-1.0,parser,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000019,aqua-train-078536,test,simple,retrieved,top,,0.7303850054740906,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000019,aqua-train-027078,test,simple,placebo,placebo,,0.15193066000938416,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000020,aqua-train-029654,calibration,simple,retrieved,target_0.30,0.3,0.30000072717666626,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000020,aqua-train-005152,calibration,simple,retrieved,target_0.50,0.5,0.5000004172325134,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000020,aqua-train-038778,calibration,simple,retrieved,target_0.70,0.7,0.7000418305397034,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000020,aqua-train-049354,calibration,simple,retrieved,top,,0.7815425395965576,False,True,False,-1.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000020,aqua-train-026295,calibration,simple,placebo,placebo,,0.26533493399620056,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000021,aqua-train-027245,calibration,simple,retrieved,target_0.30,0.3,0.30000030994415283,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000021,aqua-train-042624,calibration,simple,retrieved,target_0.50,0.5,0.49998268485069275,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000021,aqua-train-018237,calibration,simple,retrieved,target_0.70,0.7,0.700788676738739,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000021,aqua-train-078167,calibration,simple,retrieved,top,,0.7039656043052673,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000021,aqua-train-049514,calibration,simple,placebo,placebo,,0.1967964619398117,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000022,aqua-train-072188,calibration,simple,retrieved,target_0.30,0.3,0.2999972403049469,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000022,aqua-train-011926,calibration,simple,retrieved,target_0.50,0.5,0.49998632073402405,False,True,False,-1.0,parser,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000022,aqua-train-090858,calibration,simple,retrieved,target_0.70,0.7,0.6298325061798096,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000022,aqua-train-012138,calibration,simple,retrieved,top,,0.6569429636001587,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000022,aqua-train-004210,calibration,simple,placebo,placebo,,0.20880387723445892,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000023,aqua-train-010268,test,simple,retrieved,target_0.30,0.3,0.2999942898750305,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000023,aqua-train-012318,test,simple,retrieved,target_0.50,0.5,0.499864399433136,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000023,aqua-train-017658,test,simple,retrieved,target_0.70,0.7,0.5338900685310364,False,True,False,-1.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000023,aqua-train-066362,test,simple,retrieved,top,,0.5742404460906982,True,True,False,-1.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000023,aqua-train-089332,test,simple,placebo,placebo,,0.17739984393119812,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000024,aqua-train-077762,calibration,simple,retrieved,target_0.30,0.3,0.30000028014183044,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000024,aqua-train-051297,calibration,simple,retrieved,target_0.50,0.5,0.5000024437904358,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000024,aqua-train-010045,calibration,simple,retrieved,target_0.70,0.7,0.7041327357292175,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000024,aqua-train-041008,calibration,simple,retrieved,top,,0.7264955043792725,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000024,aqua-train-069165,calibration,simple,placebo,placebo,,0.14818479120731354,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000025,aqua-train-013998,test,simple,retrieved,target_0.30,0.3,0.2999993860721588,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000025,aqua-train-043913,test,simple,retrieved,target_0.50,0.5,0.4999489188194275,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000025,aqua-train-010367,test,simple,retrieved,target_0.70,0.7,0.5753839612007141,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000025,aqua-train-052569,test,simple,retrieved,top,,0.580195426940918,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000025,aqua-train-008466,test,simple,placebo,placebo,,0.10169608891010284,False,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000026,aqua-train-006116,test,simple,retrieved,target_0.30,0.3,0.2999992072582245,False,False,True,1.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000026,aqua-train-071789,test,simple,retrieved,target_0.50,0.5,0.4999217391014099,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000026,aqua-train-077619,test,simple,retrieved,target_0.70,0.7,0.6950864791870117,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000026,aqua-train-070276,test,simple,retrieved,top,,0.7134301662445068,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000026,aqua-train-019426,test,simple,placebo,placebo,,0.03347152844071388,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000027,aqua-train-038192,calibration,simple,retrieved,target_0.30,0.3,0.29999834299087524,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000027,aqua-train-083640,calibration,simple,retrieved,target_0.50,0.5,0.5000001192092896,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000027,aqua-train-096464,calibration,simple,retrieved,target_0.70,0.7,0.7006703615188599,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000027,aqua-train-042309,calibration,simple,retrieved,top,,0.8189836740493774,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000028,aqua-train-006012,test,simple,retrieved,target_0.30,0.3,0.3000009059906006,True,False,False,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000028,aqua-train-027740,test,simple,retrieved,target_0.50,0.5,0.499991238117218,False,False,False,0.0,parser,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000028,aqua-train-094363,test,simple,retrieved,target_0.70,0.7,0.7005859613418579,True,False,False,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000028,aqua-train-038352,test,simple,retrieved,top,,0.845794141292572,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000028,aqua-train-088798,test,simple,placebo,placebo,,0.20379042625427246,True,False,False,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000029,aqua-train-056961,calibration,simple,retrieved,target_0.30,0.3,0.2999977171421051,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000029,aqua-train-033031,calibration,simple,retrieved,target_0.50,0.5,0.5000091791152954,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000029,aqua-train-001663,calibration,simple,retrieved,target_0.70,0.7,0.7001135349273682,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000029,aqua-train-006896,calibration,simple,retrieved,top,,0.7313144207000732,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000029,aqua-train-057298,calibration,simple,placebo,placebo,,0.14998599886894226,False,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000030,aqua-train-041739,calibration,simple,retrieved,target_0.30,0.3,0.3000034987926483,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000030,aqua-train-067911,calibration,simple,retrieved,target_0.50,0.5,0.5000232458114624,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000030,aqua-train-033759,calibration,simple,retrieved,target_0.70,0.7,0.6999560594558716,True,True,False,-1.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000030,aqua-train-085538,calibration,simple,retrieved,top,,0.8004581928253174,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000030,aqua-train-012202,calibration,simple,placebo,placebo,,0.12444251030683517,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000031,aqua-train-040040,test,simple,retrieved,target_0.30,0.3,0.2999931573867798,True,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000031,aqua-train-044368,test,simple,retrieved,target_0.50,0.5,0.4998666048049927,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000031,aqua-train-058651,test,simple,retrieved,target_0.70,0.7,0.6350966095924377,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000031,aqua-train-084100,test,simple,retrieved,top,,0.6396245956420898,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000031,aqua-train-034119,test,simple,placebo,placebo,,0.125459223985672,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000032,aqua-train-021852,calibration,simple,retrieved,target_0.30,0.3,0.3000023663043976,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000032,aqua-train-032443,calibration,simple,retrieved,target_0.50,0.5,0.500043511390686,True,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000032,aqua-train-064519,calibration,simple,retrieved,target_0.70,0.7,0.7027679681777954,True,False,False,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000032,aqua-train-010269,calibration,simple,retrieved,top,,0.961127519607544,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000032,aqua-train-068846,calibration,simple,placebo,placebo,,0.08891884982585907,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000033,aqua-train-064581,calibration,simple,retrieved,target_0.30,0.3,0.299998939037323,False,False,False,0.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000033,aqua-train-086929,calibration,simple,retrieved,target_0.50,0.5,0.48676231503486633,True,False,False,0.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000033,aqua-train-042747,calibration,simple,retrieved,target_0.70,0.7,0.5502758026123047,False,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000033,aqua-train-057485,calibration,simple,retrieved,top,,0.5554938316345215,False,False,False,0.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000033,aqua-train-013597,calibration,simple,placebo,placebo,,0.07839757204055786,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000034,aqua-train-096509,test,simple,retrieved,target_0.30,0.3,0.29999953508377075,True,True,False,-1.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000034,aqua-train-036853,test,simple,retrieved,target_0.50,0.5,0.49990561604499817,True,True,False,-1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000034,aqua-train-059359,test,simple,retrieved,target_0.70,0.7,0.6472746729850769,True,True,True,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000034,aqua-train-025928,test,simple,retrieved,top,,0.6599012017250061,False,True,False,-1.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000034,aqua-train-078404,test,simple,placebo,placebo,,0.1256677210330963,True,True,False,-1.0,parser,judge_fallback,parser
